2021   1    6000.000000 GPS G27  -0.986216 0.300399 -0.922919 0.524909 x: 21971555.1926771514 10536433.0937262885 10838440.5681204256, v: 888.8660819728 1076.1200075832 -2774.3026110897, clk bias:-0.0000467277, clk drift:-0.0000000000, relcorr:-0.0000000177 x: 21971556.1788928434 10536432.7933274657 10838441.4910391048, v: 888.8692267154 1076.2064243780 -2774.3927220830, clk bias:-0.0000467295, clk drift:-0.0000000000, relcorr:-0.0000000178 
2021   1    6000.000000 GPS G28  1.064649 0.529872 -0.975606 0.430161 x: -6853912.2778038289 -13905286.7736860421 22118759.8746481575, v: 2609.5936525462 -570.0023876416 480.2781664039, clk bias:0.0006357585, clk drift:-0.0000000000, relcorr:-0.0000000148 x: -6853913.3424532609 -13905287.3035577051 22118760.8502544872, v: 2609.6533458307 -570.0196866661 480.2856791438, clk bias:0.0006357571, clk drift:-0.0000000000, relcorr:-0.0000000148 
2021   1    6000.000000 GPS G29  0.263873 0.001388 0.116813 1.036037 x: -2886126.2206753278 16810339.5108168647 -20384834.0150917619, v: -1808.6187363966 -1834.4969783788 -1262.9842581620, clk bias:-0.0002670708, clk drift:-0.0000000000, relcorr:-0.0000000029 x: -2886126.4845481087 16810339.5094289705 -20384834.1319046505, v: -1808.6698948724 -1834.5315634072 -1263.0054405301, clk bias:-0.0002670743, clk drift:-0.0000000000, relcorr:-0.0000000028 
2021   1    6000.000000 GPS G30  -0.509258 0.794182 -0.724817 0.961992 x: -1682336.3227578495 -24188902.1612339765 10628956.9109880943, v: 660.4115235295 -1227.0665987729 -2721.2244773899, clk bias:-0.0003616508, clk drift:-0.0000000000, relcorr:0.0000000079 x: -1682335.8134997902 -24188902.9554163292 10628957.6358049735, v: 660.5275635255 -1227.1317953570 -2721.3546497546, clk bias:-0.0003616540, clk drift:-0.0000000000, relcorr:0.0000000079 
2021   1    6000.000000 GPS G31  0.130645 0.334114 0.071133 1.150245 x: 9085594.4679447580 16687175.4903155044 -18435439.8537521660, v: -766.6809438182 2222.7972700506 1686.6245940581, clk bias:-0.0000911117, clk drift:-0.0000000000, relcorr:0.0000000216 x: 9085594.3373000454 16687175.1562019195 -18435439.9248853475, v: -766.7321961925 2222.8730979765 1686.6677232330, clk bias:-0.0000911155, clk drift:-0.0000000000, relcorr:0.0000000215 
2021   1    6000.000000 GPS G32  -1.408648 -0.650240 0.457081 0.684165 x: 15147498.9306276795 20778829.9891585857 7072896.0222053975, v: -827.7800052752 -404.9725871247 2984.1477847593, clk bias:0.0000117075, clk drift:0.0000000000, relcorr:-0.0000000034 x: 15147500.3392760679 20778830.6393984295 7072895.5651239967, v: -827.8871063092 -404.9407965784 2984.2841441119, clk bias:0.0000117053, clk drift:0.0000000000, relcorr:-0.0000000034 
2021   1    6000.000000 GPS R01  1.765133 -0.600093 -1.478517 -1.767431 x: -19037209.8273267336 3664751.1097455155 16579232.8921051919, v: -2230.8505464693 -431.4174223310 -2464.4193728005, clk bias:0.0000728292, clk drift:0.0000000000, relcorr:-0.0000000007 x: -19037211.5924593545 3664751.7098380979 16579234.3706218917, v: -2230.8525223301 -431.4176779573 -2464.4198863384, clk bias:0.0000728351, clk drift:0.0000000000, relcorr:-0.0000000007 
2021   1    6000.000000 GPS R02  0.693263 -0.724371 -2.072075 1.244556 x: 1916433.3992571319 11595970.4676254857 22679893.6783638112, v: -2982.0514796598 -830.9983320296 672.1270750796, clk bias:0.0004609994, clk drift:0.0000000000, relcorr:0.0000000024 x: 1916432.7059946114 11595971.1919962689 22679895.7504391558, v: -2982.0511154357 -830.9996947963 672.1279035060, clk bias:0.0004609952, clk drift:0.0000000000, relcorr:0.0000000024 
2021   1    6000.000000 GPS R03  -3.749019 -0.933330 -0.563901 4.022036 x: 18747303.6997899190 11346269.2980014030 13138938.8323166836, v: -1697.9017628653 -584.3966347604 2930.0305357252, clk bias:0.0000283395, clk drift:0.0000000000, relcorr:-0.0000000008 x: 18747307.4488086328 11346270.2313317172 13138939.3962179888, v: -1697.8995481305 -584.3981875496 2930.0311923137, clk bias:0.0000283261, clk drift:0.0000000000, relcorr:-0.0000000008 
2021   1    6000.000000 GPS R04  -2.838796 1.309101 3.455420 4.732178 x: 24799552.0121824890 4699371.6387031432 -3697216.1380390297, v: 538.0332574539 -44.5942668833 3532.0814738154, clk bias:0.0000680896, clk drift:0.0000000000, relcorr:-0.0000000017 x: 24799554.8509788215 4699370.3296017079 -3697219.5934594888, v: 538.0355131348 -44.5958060037 3532.0815693668, clk bias:0.0000680738, clk drift:0.0000000000, relcorr:-0.0000000017 
2021   1    6000.000000 GPS R05  0.436549 1.776811 3.682314 1.591240 x: 17011111.4959818162 -4465667.3134877812 -18482623.7821030058, v: 2475.6660618643 540.0968943521 2145.1252334232, clk bias:0.0000639332, clk drift:0.0000000000, relcorr:-0.0000000012 x: 17011111.0594332442 -4465669.0902987579 -18482627.4644174092, v: 2475.6675903081 540.0970102737 2145.1252130633, clk bias:0.0000639279, clk drift:0.0000000000, relcorr:-0.0000000012 
2021   1    6000.000000 GPS R07  -0.212497 1.245407 3.298281 2.914613 x: -19144838.9770010225 -11178102.1377378963 -12544787.7799808849, v: 1635.3481136062 564.4300101621 -2995.6705763791, clk bias:-0.0000420091, clk drift:0.0000000000, relcorr:0.0000000008 x: -19144838.7645042054 -11178103.3831445444 -12544791.0782619007, v: 1635.3477714038 564.4307243937 -2995.6701997902, clk bias:-0.0000420188, clk drift:0.0000000000, relcorr:0.0000000008 
2021   1    6000.000000 GPS R08  3.000433 -0.701528 2.022137 7.344099 x: -24791201.4130314291 -4613448.9230752075 3814954.6327657094, v: -539.3520240122 23.3868785330 -3522.4170682243, clk bias:-0.0000565883, clk drift:0.0000000000, relcorr:0.0000000039 x: -24791204.4134644233 -4613448.2215475691 3814952.6106287446, v: -539.3531010337 23.3890390051 -3522.4179677727, clk bias:-0.0000566127, clk drift:0.0000000000, relcorr:0.0000000039 
2021   1    6000.000000 GPS R09  -3.523383 0.332792 1.614601 6.463453 x: 8267988.1079570111 -19033129.3452967964 14803643.4637255874, v: 1345.0321140891 -1516.7734664065 -2709.9449809402, clk bias:0.0000161462, clk drift:0.0000000000, relcorr:0.0000000028 x: 8267991.6313395714 -19033129.6780884005 14803641.8491248507, v: 1345.0319624257 -1516.7731267671 -2709.9456483566, clk bias:0.0000161246, clk drift:0.0000000000, relcorr:0.0000000028 
2021   1    6000.000000 GPS R12  2.086790 0.289238 -1.357821 0.525071 x: -18476721.2261386029 17438893.2526324876 2132018.3277282654, v: 316.7279566879 -93.9961017796 3557.0874352440, clk bias:0.0001929370, clk drift:0.0000000000, relcorr:-0.0000000021 x: -18476723.3129290491 17438892.9633939937 2132019.6855496466, v: 316.7290103825 -93.9975550096 3557.0871137474, clk bias:0.0001929353, clk drift:0.0000000000, relcorr:-0.0000000021 
2021   1    6000.000000 GPS R13  2.181296 -2.195756 -1.549727 -3.231392 x: -8685414.4081997070 19079089.8191080950 -14546773.2439963240, v: -1286.4058693979 1521.5579568227 2767.3243652674, clk bias:-0.0000487075, clk drift:0.0000000000, relcorr:0.0000000012 x: -8685416.5894957352 19079092.0148645192 -14546771.6942690089, v: -1286.4047372329 1521.5572336127 2767.3252112713, clk bias:-0.0000486967, clk drift:-0.0000000000, relcorr:0.0000000012 
2021   1    6000.000000 GPS R14  0.613319 1.560274 1.412869 -0.069421 x: 6410361.8973711235 9210625.9592209179 -22897263.9883897267, v: -2184.5590704802 2251.3317645198 293.1487642221, clk bias:0.0000593434, clk drift:0.0000000000, relcorr:-0.0000000004 x: 6410361.2840517443 9210624.3989472352 -22897265.4012588188, v: -2184.5603843953 2251.3300623964 293.1493666546, clk bias:0.0000593436, clk drift:0.0000000000, relcorr:-0.0000000004 
2021   1    6000.000000 GPS R15  -1.260740 -0.560477 2.335534 2.594165 x: 17453669.8444990665 -5714675.5743595781 -17687542.8446947113, v: -1773.4031257288 1657.8231506480 -2282.4847583057, clk bias:0.0001061034, clk drift:0.0000000000, relcorr:0.0000000012 x: 17453671.1052392088 -5714675.0138828587 -17687545.1802283637, v: -1773.4030446401 1657.8227159579 -2282.4842620017, clk bias:0.0001060948, clk drift:-0.0000000000, relcorr:0.0000000012 
2021   1    6000.000000 GPS R16  -1.270947 1.797496 -0.211174 -1.699651 x: 17906162.1042507030 -18225992.3336858526 -1255957.4663944852, v: -220.4810998700 23.6689005801 -3541.4766395727, clk bias:-0.0000097541, clk drift:0.0000000000, relcorr:-0.0000000015 x: 17906163.3751979917 -18225994.1311818361 -1255957.2552201145, v: -220.4817488150 23.6685132003 -3541.4756747285, clk bias:-0.0000097484, clk drift:-0.0000000000, relcorr:-0.0000000015 
2021   1    6000.000000 GPS R17  0.035912 -1.529499 -2.617401 3.477214 x: 10141966.8752700184 21533391.0195537917 9134093.0496205147, v: 522.3076380376 1154.3407289029 -3310.3469881462, clk bias:0.0003873188, clk drift:0.0000000000, relcorr:0.0000000018 x: 10141966.8393581174 21533392.5490525141 9134095.6670210399, v: 522.3072389660 1154.3404675099 -3310.3461459481, clk bias:0.0003873072, clk drift:0.0000000000, relcorr:0.0000000018 
2021   1    6000.000000 GPS R18  -0.243312 -0.199597 -1.637684 -2.053390 x: 11921077.0641010795 7634561.5570617663 21254166.1489835009, v: 843.5995816732 2784.0224090028 -1469.9851522183, clk bias:0.0000616033, clk drift:0.0000000000, relcorr:-0.0000000015 x: 11921077.3074130099 7634561.7566583790 21254167.7866671979, v: 843.5999278821 2784.0206041641 -1469.9862174027, clk bias:0.0000616102, clk drift:0.0000000000, relcorr:-0.0000000015 
2021   1    6000.000000 GPS R19  -2.762235 -1.518011 -2.345228 2.626281 x: 7900707.6161457561 -9577297.5424218364 22290776.7468615398, v: 641.3622098112 2988.3428362434 1056.3606958535, clk bias:-0.0001260299, clk drift:-0.0000000000, relcorr:0.0000000001 x: 7900710.3783804085 -9577296.0244110245 22290779.0920898095, v: 641.3643966098 2988.3434841760 1056.3595519321, clk bias:-0.0001260387, clk drift:-0.0000000000, relcorr:0.0000000001 
2021   1    6000.000000 GPS R20  -1.856060 1.865519 -2.735840 2.411705 x: -1556601.9199515376 -23797348.3981029019 9011484.5235325117, v: 61.0478534343 1255.0801118529 3333.7732281313, clk bias:-0.0004301290, clk drift:-0.0000000000, relcorr:-0.0000000018 x: -1556600.0638911100 -23797350.2636220604 9011487.2593722828, v: 61.0505229476 1255.0797922821 3333.7728410581, clk bias:-0.0004301371, clk drift:-0.0000000000, relcorr:-0.0000000018 
2021   1    6000.000000 GPS R21  -0.911431 3.359212 -2.439570 2.614499 x: -10356850.6114066485 -21001521.6880321167 -10143620.0454872865, v: -565.5365496288 -1288.8845035860 3240.6918852238, clk bias:-0.0001771786, clk drift:-0.0000000000, relcorr:-0.0000000012 x: -10356849.6999754757 -21001525.0472440049 -10143617.6059174258, v: -565.5353145295 -1288.8838234489 3240.6918159845, clk bias:-0.0001771873, clk drift:-0.0000000000, relcorr:-0.0000000012 
2021   1    6000.000000 GPS R22  0.111347 4.641966 -0.323930 1.782397 x: -11702103.1094800849 -6353364.0587000269 -21742004.1201019101, v: -833.5746404267 -2865.1900852222 1294.6381767745, clk bias:-0.0000900388, clk drift:-0.0000000000, relcorr:0.0000000042 x: -11702103.2208268549 -6353368.7006664807 -21742003.7961717583, v: -833.5740471379 -2865.1889492835 1294.6393877549, clk bias:-0.0000900448, clk drift:-0.0000000000, relcorr:0.0000000042 
2021   1    6000.000000 GPS R24  2.997285 -1.986039 0.375256 1.929936 x: 2084703.4510951834 24052886.2996157780 -8186560.1919848444, v: -112.1950752385 -1132.3633813595 -3346.8718708297, clk bias:0.0000261168, clk drift:0.0000000000, relcorr:0.0000000016 x: 2084700.4538101938 24052888.2856542841 -8186560.5672406452, v: -112.1981157778 -1132.3627732424 -3346.8719304319, clk bias:0.0000261104, clk drift:0.0000000000, relcorr:0.0000000016 
2021   1    6000.000000 GPS E01  -0.496220 0.715908 -0.124590 -9.297037 x: 5296044.6216175901 -19564862.5534602553 21578234.9506383352, v: 1860.0039100877 -1109.2592760883 -1461.4462919673, clk bias:-0.0010152931, clk drift:-0.0000000000, relcorr:-0.0000000004 x: 5296045.1178380605 -19564863.2693678625 21578235.0752279498, v: 1860.0551509141 -1109.2704929357 -1461.4691414059, clk bias:-0.0010152621, clk drift:-0.0000000000, relcorr:-0.0000000004 
2021   1    6000.000000 GPS E02  -0.069044 -0.512997 0.778047 -9.373037 x: -5149838.1775459154 19525867.3829528466 -21634131.9438543245, v: -1867.1983326126 1110.8561487919 1448.8366921733, clk bias:0.0001877588, clk drift:0.0000000000, relcorr:0.0000000009 x: -5149838.1085019168 19525867.8959496655 -21634132.7219016962, v: -1867.2458335721 1110.8668118634 1448.8575547082, clk bias:0.0001877900, clk drift:0.0000000000, relcorr:0.0000000008 
2021   1    6000.000000 GPS E03  0.061406 -0.474664 -0.679958 -9.334013 x: 6119730.5434142156 20454548.9581147730 20488593.0177397467, v: -1762.6166908684 -1058.9129849258 1583.8704529248, clk bias:-0.0003823069, clk drift:-0.0000000000, relcorr:-0.0000000001 x: 6119730.4820085876 20454549.4327785000 20488593.6976982430, v: -1762.6874990453 -1058.9263415388 1583.9049210234, clk bias:-0.0003822758, clk drift:-0.0000000000, relcorr:-0.0000000001 
2021   1    6000.000000 GPS E04  0.296699 0.781578 0.566683 -9.405106 x: -22747301.5046119317 -18066969.4187239744 -5685437.8150313636, v: 473.0175371575 319.6532702709 -2909.7834291068, clk bias:-0.0006795756, clk drift:-0.0000000000, relcorr:-0.0000000002 x: -22747301.8013108335 -18066970.2003016025 -5685438.3817141224, v: 473.0762878012 319.6094030129 -2909.8788362886, clk bias:-0.0006795442, clk drift:-0.0000000000, relcorr:-0.0000000002 
2021   1    6000.000000 GPS E05  0.284617 -0.371761 -0.784338 -9.458339 x: -14339560.3726942725 10882381.7518668696 23491579.9208531380, v: -2035.0909277581 -1188.0647896369 -691.6696153055, clk bias:-0.0003166158, clk drift:0.0000000000, relcorr:-0.0000000001 x: -14339560.6573117357 10882382.1236275639 23491580.7051912658, v: -2035.1413036237 -1188.1045708999 -691.6819328774, clk bias:-0.0003165842, clk drift:0.0000000000, relcorr:-0.0000000001 
2021   1    6000.000000 GPS E07  -0.569293 -0.366076 0.082630 -9.436659 x: 26241245.4381741248 4946847.8893324146 -12764977.6242961437, v: 1118.4941223965 622.8721910363 2541.7484915574, clk bias:-0.0004818585, clk drift:-0.0000000000, relcorr:0.0000000003 x: 26241246.0074666627 4946848.2554084072 -12764977.7069261670, v: 1118.5168787263 622.9483335468 2541.8248482037, clk bias:-0.0004818270, clk drift:-0.0000000000, relcorr:0.0000000003 
2021   1    6000.000000 GPS E08  -0.474321 -0.613657 -0.085310 -9.338586 x: 23030341.8309197798 17776059.1072201170 5422160.5386436945, v: -444.6307987221 -318.7373539786 2930.8574677488, clk bias:0.0060687366, clk drift:-0.0000000000, relcorr:0.0000000003 x: 23030342.3052409701 17776059.7208769731 5422160.6239533834, v: -444.6851983599 -318.6948141116 2930.9491626681, clk bias:0.0060687677, clk drift:-0.0000000000, relcorr:0.0000000003 
